,location,characteristic,floor_type,hkd_millions,rent_hkd,area_sqft,address,last_updated,pay_per_month_K,loan_percent,first_payment_M,full_address
4130,New Territories East,"Greenery Environment, Tranquil Environment, Nice Decoration, Good Layout, Efficient, Spacious",High Floor Zone (Flat C)                                                                        | North East,13.8,,1140.0,Sai Kung Flat C Block 16 Villa Rhapsody Symphony Bay High Floor Zone,Last Updated : 13-03-2018,36.5,50.0,16.9,"Hong Kong, New Territories East, Sai Kung Flat C Block 16 Villa Rhapsody Symphony Bay High Floor Zone"
4131,New Territories East,"Stylish Decoration, Tranquil Environment",Low Floor Zone                                                                        | South West,4.8,,325.0,Tai Po Market/Tai Wo    Tai Po Centre Low Floor Zone,Last Updated : 08-03-2018,17.8,70.0,11.44,"Hong Kong, New Territories East, Tai Po Market/Tai Wo    Tai Po Centre Low Floor Zone"
4132,New Territories East,"Grand-Proportioned, Prestige Location",Low Floor Zone                                                                        | East,18.0,,1403.0,Tai Po Mid Level/Hong Lok Yuen    Deerhill Bay Low Floor Zone,Last Updated : 19-02-2018,47.6,50.0,19.0,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen    Deerhill Bay Low Floor Zone"
4133,New Territories East,"Rare Offer, Top Of Mtr",Low Floor Zone                                                                        | East,9.3,,617.0,Tai Po Market/Tai Wo   Uptown Plaza  Low Floor Zone,Last Updated : 07-03-2018,26.4,53.0,14.3,"Hong Kong, New Territories East, Tai Po Market/Tai Wo   Uptown Plaza  Low Floor Zone"
4134,New Territories East,"Stylish Decoration, Grandstand View",High Floor Zone (Flat D)                                                                        | North East,9.5,,849.0,Shatin Flat D Belleve Court (Block 2) Phase 1 Pictorial Garden High Floor Zone,Last Updated : 13-03-2018,26.4,52.0,14.5,"Hong Kong, New Territories East, Shatin Flat D Belleve Court (Block 2) Phase 1 Pictorial Garden High Floor Zone"
4135,New Territories East,"Spacious Rooms, Unrivalled Luxury",Low Floor Zone (Flat C)                                                                        | South West,14.9,,1097.0,Tai Po Mid Level/Hong Lok Yuen Flat C Tower 2 Phase 1 Providence Bay Low Floor Zone,Last Updated : 07-03-2018,39.4,50.0,17.45,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen Flat C Tower 2 Phase 1 Providence Bay Low Floor Zone"
4136,New Territories East,"Spacious Rooms, Full Facilities",Low Floor Zone (Flat C),11.0,,927.0,Ma On Shan Flat C Block 15 Monte Vista  Low Floor Zone,Last Updated : 13-03-2018,29.1,50.0,15.5,"Hong Kong, New Territories East, Ma On Shan Flat C Block 15 Monte Vista  Low Floor Zone"
4137,New Territories East,"Top Of Mtr, Nice Decoration",Medium Floor Zone (Flat 7)                                                                        | South West,5.2,,363.0,Ma On Shan Flat 7  Phase 4 Sunshine City Medium Floor Zone,Last Updated : 13-03-2018,19.2,70.0,11.56,"Hong Kong, New Territories East, Ma On Shan Flat 7  Phase 4 Sunshine City Medium Floor Zone"
4138,New Territories East,"Great Value, Opportunity Knocking",,4.58,,374.0,Tai Po Market/Tai Wo   Yat Nga Court,Last Updated : 12-03-2018,16.9,70.0,11.37,"Hong Kong, New Territories East, Tai Po Market/Tai Wo   Yat Nga Court"
4139,New Territories East,"Rare In Market, Yuppie Choice",Medium Floor Zone (Flat H)                                                                        | South,5.2,,435.0,Tai Po Market/Tai Wo Flat H Block 17 Phase 2 Serenity Park Medium Floor Zone,Last Updated : 08-03-2018,19.2,70.0,11.56,"Hong Kong, New Territories East, Tai Po Market/Tai Wo Flat H Block 17 Phase 2 Serenity Park Medium Floor Zone"
4140,New Territories East,"Spacious Rooms, With Ensuite",Medium Floor Zone,9.88,,1021.0,Sheung Shui/Fanling/Kwu Tung   Woodland Crest  Medium Floor Zone,Last Updated : 13-03-2018,26.4,50.0,14.88,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Woodland Crest  Medium Floor Zone"
4141,New Territories East,,High Floor Zone (Flat H)                                                                        | South East,8.2,,711.0,Shatin Flat H Galaxy Court (Block A) Phase 2 Pictorial Garden High Floor Zone,Last Updated : 13-03-2018,26.0,60.0,13.28,"Hong Kong, New Territories East, Shatin Flat H Galaxy Court (Block A) Phase 2 Pictorial Garden High Floor Zone"
4142,New Territories East,"Unbeatable Price, 5-Star Club House",High Floor Zone,6.18,,477.0,Sheung Shui/Fanling/Kwu Tung   Green Code  High Floor Zone,Last Updated : 12-03-2018,22.2,67.0,11.98,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Green Code  High Floor Zone"
4143,New Territories East,,High Floor Zone (Flat E)                                                                        | South East,7.0,,506.0,Fotan/Shatin Mid Level/Kau To Shan Flat E Block 4 Jubilee Garden  High Floor Zone,Last Updated : 11-03-2018,22.2,60.0,12.8,"Hong Kong, New Territories East, Fotan/Shatin Mid Level/Kau To Shan Flat E Block 4 Jubilee Garden  High Floor Zone"
4144,New Territories East,,High Floor Zone (Flat C)                                                                        | North West,9.3,,554.0,Fotan/Shatin Mid Level/Kau To Shan Flat C Block 5 The Palazzo  High Floor Zone,Last Updated : 13-03-2018,26.4,53.0,14.3,"Hong Kong, New Territories East, Fotan/Shatin Mid Level/Kau To Shan Flat C Block 5 The Palazzo  High Floor Zone"
4145,New Territories East,"Quiet & Central, Nice Decoration, Nice Decoration, Good Layout, Efficient, Convenient",Medium Floor Zone (Flat B)                                                                        | North East,7.95,17.0,523.0,Ma On Shan Flat B Block 5 Phase 1 Double Cove Medium Floor Zone,Last Updated : 03-03-2018,25.2,60.0,13.18,"Hong Kong, New Territories East, Ma On Shan Flat B Block 5 Phase 1 Double Cove Medium Floor Zone"
4146,New Territories East,"Sky Garden, Nice Decoration",Medium Floor Zone                                                                        | South East,12.0,33.0,684.0,Fotan/Shatin Mid Level/Kau To Shan  Block 1 The Palazzo  Medium Floor Zone,Last Updated : 02-03-2018,31.7,50.0,16.0,"Hong Kong, New Territories East, Fotan/Shatin Mid Level/Kau To Shan  Block 1 The Palazzo  Medium Floor Zone"
4147,New Territories East,"Good Layout & Efficient, Nice Decoration, Efficient, Convenient",High Floor Zone (Flat A)                                                                        | East,21.0,,1000.0,Ma On Shan Flat A Tower 7 Lake Silver  High Floor Zone,Last Updated : 18-02-2018,55.6,50.0,110.5,"Hong Kong, New Territories East, Ma On Shan Flat A Tower 7 Lake Silver  High Floor Zone"
4148,New Territories East,"Shuttle Bus, Tranquil Garden View",Medium Floor Zone                                                                        | North West,5.4,,439.0,Sheung Shui/Fanling/Kwu Tung   Dawning Views  Medium Floor Zone,Last Updated : 14-02-2018,20.0,70.0,11.62,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Dawning Views  Medium Floor Zone"
4149,New Territories East,,High Floor Zone                                                                        | South East,6.78,,511.0,Sheung Shui/Fanling/Kwu Tung   Green Code  High Floor Zone,Last Updated : 13-03-2018,22.2,61.0,12.58,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Green Code  High Floor Zone"
4150,New Territories East,"Nice Decoration, Good Layout, Efficient, Spacious, Convenient",,24.0,,1433.0,Ma On Shan Flat 12  Oceanaire,Last Updated : 24-02-2018,63.5,50.0,112.0,"Hong Kong, New Territories East, Ma On Shan Flat 12  Oceanaire"
4151,New Territories East,"Terrace Garden, Luxurious Decoration",Low Floor Zone,47.98,,2445.0,Tai Po Mid Level/Hong Lok Yuen    Providence Bay Low Floor Zone,Last Updated : 12-03-2018,127.1,50.0,123.99,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen    Providence Bay Low Floor Zone"
4152,New Territories East,"Rare Offer, Shuttle Bus",Low Floor Zone (Flat F)                                                                        | South East,5.8,,533.0,Tai Po Market/Tai Wo Flat F Block 8 Grand Palisades  Low Floor Zone,Last Updated : 04-03-2018,21.5,70.0,11.74,"Hong Kong, New Territories East, Tai Po Market/Tai Wo Flat F Block 8 Grand Palisades  Low Floor Zone"
4153,New Territories East,"Below Cost, Prestige Location",Medium Floor Zone,24.6,,1934.0,Tai Po Mid Level/Hong Lok Yuen     Medium Floor Zone,Last Updated : 12-03-2018,65.1,50.0,112.3,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen     Medium Floor Zone"
4154,New Territories East,"Internal Stairs, Nice Decoration",Medium Floor Zone                                                                        | North,9.88,,1109.0,Sheung Shui/Fanling/Kwu Tung   Glamour Garden  Medium Floor Zone,Last Updated : 13-03-2018,26.4,50.0,14.88,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Glamour Garden  Medium Floor Zone"
4155,New Territories East,,Medium Floor Zone (Flat A)                                                                        | North East,19.0,,1164.0,Fotan/Shatin Mid Level/Kau To Shan Flat A Block 2 Phase 1 Peak One Medium Floor Zone,Last Updated : 13-03-2018,50.3,50.0,19.5,"Hong Kong, New Territories East, Fotan/Shatin Mid Level/Kau To Shan Flat A Block 2 Phase 1 Peak One Medium Floor Zone"
4156,New Territories East,"Tranquil Environment, Great Value",Medium Floor Zone (Flat C)                                                                        | South East,11.8,,1119.0,Shatin Flat C Elegant Court (Block C) Phase 2 Pictorial Garden Medium Floor Zone,Last Updated : 12-03-2018,31.2,50.0,15.9,"Hong Kong, New Territories East, Shatin Flat C Elegant Court (Block C) Phase 2 Pictorial Garden Medium Floor Zone"
4157,New Territories East,"Nice Decoration, Tranquil Environment",High Floor Zone                                                                        | South East,7.08,,526.0,Tai Po Market/Tai Wo   Phase 1 Serenity Park High Floor Zone,Last Updated : 13-03-2018,22.5,60.0,12.83,"Hong Kong, New Territories East, Tai Po Market/Tai Wo   Phase 1 Serenity Park High Floor Zone"
4158,New Territories East,"Good Layout & Efficient, Spacious Rooms",High Floor Zone                                                                        | North East,9.88,,883.0,Tai Po Mid Level/Hong Lok Yuen    Parc Versailles High Floor Zone,Last Updated : 13-03-2018,26.4,50.0,14.88,"Hong Kong, New Territories East, Tai Po Mid Level/Hong Lok Yuen    Parc Versailles High Floor Zone"
4159,New Territories East,"Good Layout & Efficient, 5-Star Club House",Medium Floor Zone,5.18,,419.0,Sheung Shui/Fanling/Kwu Tung   Phase 1 Regentville Medium Floor Zone,Last Updated : 13-03-2018,19.2,70.0,11.55,"Hong Kong, New Territories East, Sheung Shui/Fanling/Kwu Tung   Phase 1 Regentville Medium Floor Zone"
